Product Name,Quanity,Total Price,Notes,Link
PCBA,5,$148.00 ,5 PCB with 2 PCBA,JLC PCB
N20 motar,2,$5.84 , out of stock for now will be back in a week,https://robu.in/product/n20-3v-100-rpm-micro-metal-gear-box-dc-motor-copy-2/
Ball Caster Wheel , 2 , $1.20 , out of stock for now will be back in a week, https://robu.in/product/wheel-of-metal/
3.5 inch capacitive touch display ,1,$21.42 , couldn't find any better alternate, https://robu.in/product/capacitive-touch-display-module/?gad_campaignid=17416544847
Power Wheel,2,$1.07 , 34mm in diameter ,https://robu.in/product/34mm-mini-car-n20-motor-wheel-rubber-small-wheel/
Ohm 3W FullSpeaker,1,$1.28 ,,https://www.amazon.in/product-reviews/B0CSPP3HYH/ref=acr_dp_hist_1?ie=UTF8&filterByStar=one_star&reviewerType=all_reviews#reviews-filter-bar
jumper wires, 1 , $1.43 , 	to connect display/laser sensor with main pcb, https://robu.in/product/20-cm-40-pin-dupont-male-male-male-female-female-female-cable-combo/
VL53L0X, 2 , $2.45, , https://robu.in/product/vl53l0x-tof-based-lidar-laser-distance-sensor/
M3 20mm Bolt and Nut, 2 , $1.68, to connect parts together , https://robu.in/product/easymech-m3-x-20mm-chhd-bolt-nut-and-washer-set-20-pcs/
Battery, 1 , $5.36 , ,https://robu.in/product/1s2p-li-ion-battery-pack-2/
