Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part

"SML-LXT0805IW-TR","LED RED DIFFUSED SMD","D2","FP-SML-LXT0805IW-TR-MFG","CMP-1724-00002-2","1","C2297"
"10TPC100M","Molded Tantalum Polymer Capacitor 100uF 20% 10V life 2000Hours SMD 2917","C26, C27","FP-POSCAP-D2-MFG","CMP-05428-000328-1","2","C7222"
"C0805C106J8RACAUTO","CAP CER 10UF 10V X7R 0805","C1, C5, C6, C9","FP-C0805C106J8RACAUTO-IPC_B","CMP-03020-034708-1","4","C15850"
"C0805C106J8RACAUTO","CAP CER 10UF 10V X7R 0805","C2, C16","FP-C0805C106J8RACAUTO-MFG","CMP-03020-034708-1","2","C15850"
"TP4056","Complete single cell Li-Ion battery with a constant current / constant voltage linear charger","U1","SOP127P600X175-9N","TP4056","1","C16581"
"RMCF0805JG1K20","1.2kO ±5% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant","R3","FP-RMCF0805-IPC_B","CMP-26527-005543-1","1","C17379"
"CRCW0805100RJNEAHP","RES Thick Film, 100O, 5%, 0.5W, 200ppm/°C, 0805","R5","FP-CRCW0805-HPe3-IPC_B","CMP-02407-002130-1","1","C17408"
"RT0805FRD0710KL","RES SMD 10K OHM 1% 1/8W 0805","R7, R8, R9, R10, R11, R12, R13, R14, R15, R18, R19, R20","FP-RT0805-IPC_B","CMP-03412-035478-1","12","C17414"
"MCU0805MD1001BP100","RES 1.05K OHM 0.5% 1/5W 0805","R1, R6","FP-MCU0805-IPC_B","CMP-02407-000288-1","2","C17513"
"RT0805DRD07100KL","RES SMD 100K OHM 0.5% 1/8W 0805","R16, R17","FP-RT0805-MFG","CMP-2001-01780-2","2","C25611"
"AC0805JR-075K1L","RES SMD 5.1K OHM 5% 1/8W 0805","R2, R4","FP-AC0805-IPC_B","CMP-2001-04477-2","2","C27834"
"CC0805KKX7RYBB104","CC0805KKX7RYBB104 Capacitor Ceramic 0.01uF 250V X7R 10% 0805 T/R","C3, C8, C10, C11, C14, C15, C19, C20","FP-CC0805-EB-IPC_B","CMP-00621-107850848-1","8","C28233"
"DRV8833PWPR","IC MOTOR DRIVER PAR 16HTSSOP","U6","FP-PWP0016C-IPC_B","CMP-1529-00004-3","1","C50506"
"DM3AT-SF-PEJM5","CONN MICRO SD CARD PUSH-PUSH R/A","J4","FP-DM3AT-SF-PEJM5-MFG","CMP-2000-05150-2","1","C114218"
"BME680","Gas, Humidity, Pressure, Temperature Sensor I2C, SPI Output","U7","PSON80P300X300X100-8N","BME680","1","C125972"
"MF-NSMF200-2","PTC RESET FUSE 6V 2A 1206","F1","FP-MF-NSMF200-2-MFG","CMP-07400-000004-1","1","C269120"
"08053C225K4Z2A","CAP CER 2.2UF 25V X7R 0805","C17","FP-0805-L_2_01_0_2-W_1_25-MFG","CMP-04427-000048-1","1","C377773"
"CAP 10nF 50V 0805(2012)","CAP 10nF 50V ±10% 0805 (2012 Metric) Thickness 1.45mm SMD","C13","CAPC0805(2012)145_N","CMP-1036-03843-1","1","C377773"
"AP2114HA-3.3TRG1","Description","U3","SOT-223_DIO","AP2114HA-3.3TRG1","1","C460314"
"2-1977223-2","SWITCH TACTILE SPST-NO 0.05A 24V","SW1, SW2","FP-2-1977223-2-MFG","CMP-03407-000026-1","2","C557615"
"MAX98357AETE+T","Tiny, Low-Cost, PCM Class D Amplifier with Class AB Performance","U5","QFN50P300X300X80-17N","MAX98357AETE+T","1","C910544"
"UUD1V221MNL1GS","Aluminum Electrolytic Capacitor, UD Series, Low Impedance, 220 uF, 35 V, + / - 20%, -55 to 105 degC, Chip Type, 8 x 10 mm D x L, Pb-Free, Reel","C4, C7, C12, C18","NIC-CAPA2-8X10_V","CMP-0687-00080-1","4","C2836441"
"SMF5.0AT1G","200 W Transient Voltage Suppressor, 2-Pin SOD-123FL, Pb-Free, Tape and Reel","D1","ONSC-SOD-123FL-2-498_V","CMP-1061-00612-1","1","C2857263"
"ESP32-S3-WROOM-1-N16R2","Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz PCB Trace Surface Mount","U4","XCVR_ESP32-S3-WROOM-1-N16R2","ESP32-S3-WROOM-1-N16R2","1","C2913205"
"TSW-115-07-G-S","CONN HEADER VERT 15POS 2.54MM","J5","FP-TSW-115-07-G-S-MFG","CMP-02766-000090-1","1","C2932704"
"DX07S016JA1R1500","CONN RCP USB2.0 TYP C 24P SMD RA","J1","FP-DX07S016JA1R1500-MFG","CMP-19038-000003-1","1","C3197885"
"FS8205A","","Q1","SOP65P640X120-8N","FS8205A","1","C5148694"
"DW01A","One Cell Lithium-ion/Polymer Battery Protection IC","U2","SOT95P280X145-6N","DW01A","1","C18164398"
"Header 2H","Header, 2-Pin, Right Angle","P2, P3","HDR1X2H","Header 2H","2","C32713261"
"Header 2","Header, 2-Pin","P1, P6","HDR1X2","Header 2","2","C32713268"
"Header 4","Header, 4-Pin","P4, P5","HDR1X4","Header 4","2","C42431787"
"LSM6DS3","Accelerometer, Gyroscope, Temperature, 6 Axis Sensor IÂ²C, SPI Output","U8","PQFN50P300X250X86-14N","LSM6DS3","1","LSM6DS3TR-C"
